productname,size,newprice,oldprice,link
Luve Lughurt Mango 400g,400g,"1,99",0,https://www.goflink.com//de-DE/shop/product/luve-lughurt-mango-400g-11016143/
Luve Lughurt Natur Zuckerfrei 400g,400g,"1,99",0,https://www.goflink.com//de-DE/shop/product/luve-lughurt-natur-zuckerfrei-400g-11016145/
Luve Lughurt Stracciatella 400g,400g,"1,99",0,https://www.goflink.com//de-DE/shop/product/luve-lughurt-stracciatella-400g-11016144/
Alpro Barista Kokosdrink 1l,1l,"2,89",0,https://www.goflink.com//de-DE/shop/product/alpro-barista-kokosdrink-1l-11015806/
Alpro Bio Soyadrink 1l,1l,"1,99",0,https://www.goflink.com//de-DE/shop/product/alpro-bio-soyadrink-1l-11010200/
Alpro Cashew Drink 1l,1l,"0,78","2,59",https://www.goflink.com//de-DE/shop/product/alpro-cashew-drink-1l-11015283/
Alpro Haferdrink Barista 1l,1l,"2,29",0,https://www.goflink.com//de-DE/shop/product/alpro-hafer-barista-drink-1l-11010204/
Alpro Haferdrink Ungesüßt 1l,1l,"1,99",0,https://www.goflink.com//de-DE/shop/product/alpro-haferdrink-ungesusst-1l-11010203/
Alpro Haselnuss Drink 1l,1l,"1,44","2,89",https://www.goflink.com//de-DE/shop/product/alpro-haselnuss-drink-1l-11015282/
Alpro Mandeldrink 1l,1l,"0,87","2,89",https://www.goflink.com//de-DE/shop/product/alpro-mandel-drink-1l-11010201/
Alpro Mandeldrink Ungesüßt Geröstet 1l,1l,"2,89",0,https://www.goflink.com//de-DE/shop/product/de-alpro-mandeldrink-ungesusst-gerostet-1l-11010202/
Alpro Soja Drink Light 1l,1l,"1,99",0,https://www.goflink.com//de-DE/shop/product/alpro-soja-drink-light-1l-11017759/
Alpro Soja-Kochcrème Cuisine vegan 250ml,250ml,"1,39",0,https://www.goflink.com//de-DE/shop/product/alpro-soja-kochcreme-cuisine-vegan-250ml-11012628/
Alpro Sojadrink Vanille 1l,1l,"1,99",0,https://www.goflink.com//de-DE/shop/product/alpro-sojadrink-vanille-1l-11013463/
Alpro This is not mlk Haferdrink 1.8% 1l,1l,"1,99",0,https://www.goflink.com//de-DE/shop/product/alpro-not-mlk-haferdrink-1-8-1l-11013646/
Alpro This is not mlk Haferdrink 3.5% 1l,1l,"1,99",0,https://www.goflink.com//de-DE/shop/product/alpro-not-mlk-haferdrink-3-5-1l-11013647/
Oatly Haferdrink Barista 1l,1l,"2,29",0,https://www.goflink.com//de-DE/shop/product/oatly-haferdrink-barista-1l-11010205/
Oatly Haferdrink Calcium 1l,1l,"1,99",0,https://www.goflink.com//de-DE/shop/product/oatly-haferdrink-calcium-1l-11010206/
Oatly Haferdrink Chocolate,Chocolate,"2,29",0,https://www.goflink.com//de-DE/shop/product/oatly-haferdrink-chocolate-11015190/
Oatly Organic Haferdrink Classic Bio 1l,1l,"1,99",0,https://www.goflink.com//de-DE/shop/product/oatly-haferdrink-classic-bio-1l-11010207/
Rama Kochcreme Pflanzlich 15% 200ml,200ml,"0,99",0,https://www.goflink.com//de-DE/shop/product/rama-kochcreme-pflanzlich-15-200ml-11017761/
Rama Schlagcreme Pflanzlich 31% 200ml,200ml,"0,99",0,https://www.goflink.com//de-DE/shop/product/rama-schlagcreme-pflanzlich-31-200ml-11017762/
UNMILK Barista glutenfrei 1l,1l,"2,59",0,https://www.goflink.com//de-DE/shop/product/unmilk-barista-glutenfrei-1l-11016803/
UNMILK Vegan Caffè Protein Shake 330ml,330ml,"2,59",0,https://www.goflink.com//de-DE/shop/product/unmilk-vegan-protein-shake-caffe-330ml-11015887/
UNMILK Vegan Schoko Protein Shake 330ml,330ml,"2,59",0,https://www.goflink.com//de-DE/shop/product/unmilk-vegan-protein-shake-schoko-330ml-11015886/
Vly Kakaodrink 400 ml,ml,"1,99",0,https://www.goflink.com//de-DE/shop/product/vly-kakaodrink-400-ml-11015263/
vly Milchalternative Barista aus Erbsenprotein 1l,1l,"2,59",0,https://www.goflink.com//de-DE/shop/product/vly-milchalternative-barista-aus-erbsenprotein-1l-11012751/
vly Milchalternative Ungesüsst aus Erbsenprotein 1l,1l,"2,59",0,https://www.goflink.com//de-DE/shop/product/vly-milchalternative-ungesusst-aus-erbsenprotein-1l-11012752/
Beyond Meat Beyond Burger 226g (2x113g),2x113g,"3,99",0,https://www.goflink.com//de-DE/shop/product/beyond-meat-beyond-burger-226g-2x113g-11015064/
Beyond Meat Beyond Meatballs 200g (8x25g),8x25g,"3,99",0,https://www.goflink.com//de-DE/shop/product/beyond-meat-beyond-meatballs-200g-8x25g-11015926/
Beyond Meat Beyond Mince 300g,300g,"3,99",0,https://www.goflink.com//de-DE/shop/product/beyond-meat-beyond-mince-300g-11015065/
Beyond Meat Beyond Sausage 200g (2x100g),2x100g,"3,99",0,https://www.goflink.com//de-DE/shop/product/beyond-meat-beyond-sausage-200g-2x100g-11015066/
Endori Veggie Minced Hack 200g,200g,"2,99",0,https://www.goflink.com//de-DE/shop/product/endori-veggie-minced-hack-200g-11014785/
Endori Veggie Pulled 170g,170g,"2,99",0,https://www.goflink.com//de-DE/shop/product/endori-veggie-pulled-170g-11014786/
Future Farm Future Bratwurst 250g,250g,"3,99",0,https://www.goflink.com//de-DE/shop/product/future-farm-future-bratwurst-285g-11013878/
Future Farm Future Burger 230g,230g,"3,99",0,https://www.goflink.com//de-DE/shop/product/future-farm-future-burger-265g-11013877/
Future Farm Future Chicken 200g,200g,"3,99",0,https://www.goflink.com//de-DE/shop/product/future-farm-future-chicken-235g-11013881/
Future Farm Future Hack 250g,250g,"3,99",0,https://www.goflink.com//de-DE/shop/product/future-farm-future-hack-285g-11013879/
Future Farm Future Tuna 150g,150g,"3,89",0,https://www.goflink.com//de-DE/shop/product/future-farm-future-tuna-150g-11015697/
Like Meat Bio Grilled Chicken 180g,180g,"3,49",0,https://www.goflink.com//de-DE/shop/product/like-meat-bio-grilled-chicken-180g-11013648/
Likemeat Bio Chicken Vegan 180g,180g,"0,90","2,99",https://www.goflink.com//de-DE/shop/product/likemeat-bio-chicken-vegan-180g-11011108/
Likemeat Bio Gyros Streifen 180g,180g,"3,49",0,https://www.goflink.com//de-DE/shop/product/likemeat-bio-gyros-streifen-180g-11011107/
REWE Bio Falafelbällchen 200g,200g,"2,79",0,https://www.goflink.com//de-DE/shop/product/rewe-bio-falafelballchen-200g-11014494/
Rewe Beste Wahl Vegane Fleischwurst 175g,175g,"1,99",0,https://www.goflink.com//de-DE/shop/product/rewe-beste-wahl-vegane-fleischwurst-175g-11017575/
Rügenwalder Mühle Vegane Bratwurst 180g (3x60g),3x60g,"3,39",0,https://www.goflink.com//de-DE/shop/product/rugenwalder-muhle-vegane-bratwurst-180g-11017462/
Rügenwalder Mühle Vegane Mühlen Schnitzel Cordon Bleu 200g,200g,"3,39",0,https://www.goflink.com//de-DE/shop/product/rugenwalder-muhle-vegane-muhlen-schnitzel-cordon-bleu-200g-11011098/
Rügenwalder Mühle Vegane Teewurst 100g,100g,"1,89",0,https://www.goflink.com//de-DE/shop/product/rugenwalder-muhle-vegane-teewurst-100g-11014944/
Rügenwalder Mühle Veganer Schinken Spicker Mortadella 80g,80g,"1,59",0,https://www.goflink.com//de-DE/shop/product/rugenwalder-muhle-veganer-schinken-spicker-mortadella-80g-11017573/
Rügenwalder Mühle Veganer Schinken Spicker Salat 150g,150g,"1,99",0,https://www.goflink.com//de-DE/shop/product/rugenwalder-muhle-veganer-schinken-spicker-salat-150g-11016272/
Rügenwalder Vegane Mühlensalami 80g,80g,"1,49",0,https://www.goflink.com//de-DE/shop/product/rugenwalder-vegane-muhlensalami-80g-11013603/
Rügenwalder Vegane Nuggets Klassisch 180g,180g,"3,39",0,https://www.goflink.com//de-DE/shop/product/rugenwalder-vegane-nuggets-klassisch-180g-11013599/
Rügenwalder Veganes Hack aus Soja 250g,250g,"3,29",0,https://www.goflink.com//de-DE/shop/product/rugenwalder-veganes-hack-aus-soja-250g-11013598/
Rügenwalder Veganes Mühlenhack 180g,180g,"3,19",0,https://www.goflink.com//de-DE/shop/product/rugenwalder-veganes-muhlenhack-180g-11013516/
Rügenwalder veganer Schnittlauch Schinken Spicker 80g,80g,"1,49",0,https://www.goflink.com//de-DE/shop/product/rugenwalder-veg-schnittlauch-schinken-spicker-80g-11013504/
The Vegetarian Butcher Beflügel Nuggets 180g,180g,"0,90","2,99",https://www.goflink.com//de-DE/shop/product/befluegel-nuggets-180g-11013600/
The Vegetarian Butcher Chikeriki Streifen 160g,160g,"0,90","2,99",https://www.goflink.com//de-DE/shop/product/the-vegetarian-butcher-chikeriki-streifen-160g-11015510/
Vantastic Foods Sim Sa Lami Aufschnitt 80g,80g,"2,89",0,https://www.goflink.com//de-DE/shop/product/vantastic-foods-sim-sa-lami-aufschnitt-80g-11015804/
Veggyness Bio Vegane Merguez 200g,200g,"3,99",0,https://www.goflink.com//de-DE/shop/product/veggyness-bio-vegane-merguez-200g-11016883/
Veggyness Bio Veganes Steak 175g,175g,"3,99",0,https://www.goflink.com//de-DE/shop/product/veggyness-bio-veganes-steak-175g-11016884/
Vivera Vegane Hähnchenschnitzel 200g,200g,"2,99",0,https://www.goflink.com//de-DE/shop/product/vivera-vegane-hahnchenschnitzel-200g-11017013/
planted. Chicken Kräuter & Zitrone 160g,160g,"3,69",0,https://www.goflink.com//de-DE/shop/product/planted-chicken-krauter-and-zitrone-160g-11017147/
planted. Kebab 160g,160g,"3,69",0,https://www.goflink.com//de-DE/shop/product/planted-kebab-160g-11017148/
planted. Pulled BBQ 160g,160g,"3,69",0,https://www.goflink.com//de-DE/shop/product/planted-pulled-bbq-160g-11017149/
Rügenwalder Mühle Vegetarische Mühlen Frikadellen Klassisch 165g,165g,"2,99",0,https://www.goflink.com//de-DE/shop/product/rugenwalder-muhlen-frikadellen-vegetarisch-165g-11011095/
Rügenwalder Mühle Vegetarische Mühlen Würstchen 200g,200g,"2,99",0,https://www.goflink.com//de-DE/shop/product/rugenwalder-muhle-vegetarische-muhlen-wurstchen-200g-11011096/
Rügenwalder Mühle Vegetarische Schinkenspicker Mortadella 80g,80g,"1,49",0,https://www.goflink.com//de-DE/shop/product/rugenwalder-muhle-vegetarische-schinkenspicker-80g-11011106/
Rügenwalder Mühle Vegetarischer Mühlen Snack 25g,25g,"0,89",0,https://www.goflink.com//de-DE/shop/product/rugenwalder-muhle-vegetarischer-muhlen-snack-25g-11013716/
Rügenwalder Mühle Vegetarischer Mühlen Snack im Teigmantel 50g,50g,"1,29",0,https://www.goflink.com//de-DE/shop/product/rugenwalder-muhle-vegetarischer-muhlen-snack-im-teigmantel-50g-11014787/
Rügenwalder Vegetarischer Schinkenspicker Salat 150g,150g,"0,60","1,99",https://www.goflink.com//de-DE/shop/product/rugenwalder-vegetarischer-schinkenspicker-salat-150g-11013604/
Valess Crispy Sticks 160g,160g,"1,02","3,39",https://www.goflink.com//de-DE/shop/product/valess-crispy-sticks-160g-11013601/
Luve Lughurt Mango 400g,400g,"1,99",0,https://www.goflink.com//de-DE/shop/product/luve-lughurt-mango-400g-11016143/
Luve Lughurt Natur Zuckerfrei 400g,400g,"1,99",0,https://www.goflink.com//de-DE/shop/product/luve-lughurt-natur-zuckerfrei-400g-11016145/
Luve Lughurt Stracciatella 400g,400g,"1,99",0,https://www.goflink.com//de-DE/shop/product/luve-lughurt-stracciatella-400g-11016144/
Alpro Kokosnuss Ananas 350g,350g,"1,99",0,https://www.goflink.com//de-DE/shop/product/alpro-kokosnuss-ananas-350g-11014576/
Alpro Kokosnuss Natur 350g,350g,"0,99","1,99",https://www.goflink.com//de-DE/shop/product/alpro-kokosnuss-natur-350g-11014571/
Alpro Skyr Style Mango 400g,400g,"1,99",0,https://www.goflink.com//de-DE/shop/product/alpro-skyr-style-mango-400g-11010529/
Alpro Skyr Style Natur Ungesüßt 400g,400g,"1,99",0,https://www.goflink.com//de-DE/shop/product/alpro-skyr-style-natur-ungesusst-500g-11014234/
Alpro Skyr Style Vanille 400g,400g,"1,99",0,https://www.goflink.com//de-DE/shop/product/alpro-skyr-style-vanille-400g-11010528/
Alpro Soja Joghurt Hafer + Natur 400g,400g,"1,99",0,https://www.goflink.com//de-DE/shop/product/alpro-soja-joghurt-hafer-natur-400g-11015805/
Alpro Soja Joghurt Heidelbeere 500g,500g,"1,99",0,https://www.goflink.com//de-DE/shop/product/alpro-soja-joghurt-heidelbeere-500g-11011256/
Alpro Soja Joghurt Himbeere-Apfel Ungesüßt 500g,500g,"1,99",0,https://www.goflink.com//de-DE/shop/product/alpro-soja-joghurt-himbeere-apfel-ungesusst-500g-11017897/
Alpro Soja Joghurt Kokos 500g,500g,"1,99",0,https://www.goflink.com//de-DE/shop/product/alpro-soja-joghurt-kokos-500g-11017907/
Alpro Soja Joghurt Natur 500g,500g,"1,99",0,https://www.goflink.com//de-DE/shop/product/alpro-soja-joghurt-natur-500g-11011258/
Alpro Soja Joghurt Ungesüßt 500g,500g,"1,99",0,https://www.goflink.com//de-DE/shop/product/alpro-soja-joghurt-ungesusst-500g-11014233/
Alpro Soja Joghurt Vanille 500g,500g,"1,99",0,https://www.goflink.com//de-DE/shop/product/alpro-soja-joghurt-vanille-500g-11011257/
Dany Pflanzlich Schoko Dessert 375g,375g,"1,99",0,https://www.goflink.com//de-DE/shop/product/dany-pflanzlich-schoko-dessert-375g-11014791/
Dany Pflanzlich Vanille Dessert 375g,375g,"1,99",0,https://www.goflink.com//de-DE/shop/product/dany-pflanzlich-vanille-dessert-375g-11014790/
Harvest Moon Bio Kokos Natur 275g,275g,"3,19",0,https://www.goflink.com//de-DE/shop/product/harvest-moon-bio-kokos-natur-275g-11013454/
Harvest Moon Bio Kokos Vanille 275g,275g,"3,39",0,https://www.goflink.com//de-DE/shop/product/harvest-moon-bio-kokos-vanille-275g-11013455/
Velike Bio Naturghurt mit Mango 500g,500g,"2,59",0,https://www.goflink.com//de-DE/shop/product/velike-bio-naturghurt-mit-mango-400g-11015509/
Bedda Bockshornklee Scheiben 150g,150g,"2,99",0,https://www.goflink.com//de-DE/shop/product/bedda-bockshornklee-scheiben-150g-11015590/
Flink Bio Vegane Käse-Alternative Scheiben mild 150g,150g,"2,99",0,https://www.goflink.com//de-DE/shop/product/flink-bio-kaseersatz-scheibe-natur-150g-11014629/
Flink Bio Vegane Käse-Alternative gerieben 200g,200g,"2,99",0,https://www.goflink.com//de-DE/shop/product/flink-bio-kaseersatz-gerieben-herzhaft-200g-11014628/
REWE Bio   Vegan Räucher-Tofu 350g (2x175g),2x175g,"1,99",0,https://www.goflink.com//de-DE/shop/product/rewe-bio-vegan-raucher-tofu-350g-2x175g-11017895/
Rewe Bio Mozzarisella 150g,150g,"2,79",0,https://www.goflink.com//de-DE/shop/product/rewe-bio-mozzarisella-150g-11014241/
Rewe Bio Tofu Natur 2x200g,2x200g,"1,99",0,https://www.goflink.com//de-DE/shop/product/rewe-bio-tofu-natur-2x200g-11013561/
Simply V Genießerscheiben Natur Vegan 150g,150g,"2,99",0,https://www.goflink.com//de-DE/shop/product/simply-v-geniesserscheiben-natur-vegan-150g-11012017/
Simply V Genießerscheiben Würzig Vegan 150g,150g,"2,99",0,https://www.goflink.com//de-DE/shop/product/simply-v-geniesserscheiben-wurzig-vegan-150g-11012018/
Simply V Käsealternative Veganer Reibegenuss vegan 200g,200g,"2,99",0,https://www.goflink.com//de-DE/shop/product/simply-v-kasealternative-veganer-reibegenuss-vegan-200g-11012795/
Taifun Bio Räuchertofu 200g,200g,"2,39",0,https://www.goflink.com//de-DE/shop/product/taifun-bio-rauchertofu-200g-11012335/
Treiber Gebackener Tofu 200g,200g,"2,99",0,https://www.goflink.com//de-DE/shop/product/treiber-gebackener-tofu-200g-11016644/
Treiber Sezuan Tofu 200g,200g,"2,59",0,https://www.goflink.com//de-DE/shop/product/treiber-sezuan-tofu-200g-11016645/
Vantastic Foods Bio Tofu Natur 200g,200g,"1,99",0,https://www.goflink.com//de-DE/shop/product/bio-tofu-natur-200g-11014134/
Vantastic Foods Bio Tofu Tomate-Olive vegan 200g,200g,"2,59",0,https://www.goflink.com//de-DE/shop/product/vantastic-foods-bio-tofu-tomate-olive-vegan-200g-11013045/
Vantastic Foods Bio Tofu geräuchert 200g,200g,"2,39",0,https://www.goflink.com//de-DE/shop/product/bio-tofu-gerauchert-200g-11014133/
Violife Greek White Block 230g,230g,"3,39",0,https://www.goflink.com//de-DE/shop/product/violife-greek-white-block-230g-11015186/
Violife Grillkäse vegan 200g,200g,"2,99",0,https://www.goflink.com//de-DE/shop/product/violife-grillkase-vegan-200g-11017076/
Hanfkrem Dattel Orientalisch 145g,145g,"2,09","2,99",https://www.goflink.com//de-DE/shop/product/hanfkrem-dattel-orientalisch-145g-11015760/
Hanfkrem Rote Bete mit Sesam 145g,145g,"2,09","2,99",https://www.goflink.com//de-DE/shop/product/hanfkrem-rote-bete-mit-sesam-145g-11015761/
Lätta Vegan 250g,250g,"1,69",0,https://www.goflink.com//de-DE/shop/product/latta-vegan-250g-11017671/
NOA Brotaufstrich Kichererbse Avocado 175g,175g,"2,39",0,https://www.goflink.com//de-DE/shop/product/noa-brotaufstrich-kichererbse-avocado-175g-11016348/
NOA Brotaufstrich Linse-Curry 175g,175g,"2,39",0,https://www.goflink.com//de-DE/shop/product/noa-brotaufstrich-linse-curry-175g-11016347/
No Egg Veganes Ei 220ml,220ml,"2,99",0,https://www.goflink.com//de-DE/shop/product/no-egg-veganes-ei-220ml-11017574/
Oatly Aufstrich Gartenkräuter 150g,150g,"1,89",0,https://www.goflink.com//de-DE/shop/product/oatly-aufstrich-gartenkrauter-150g-11012799/
Popp Veganer Eifreisalat 150g,150g,"1,99",0,https://www.goflink.com//de-DE/shop/product/popp-veganer-eifreisalat-150g-11017900/
REWE Bio Tahini Hummus 150g,150g,"1,99",0,https://www.goflink.com//de-DE/shop/product/rewe-bio-hummus-tahini-150g-11014145/
Rewe BIO Veganer Eiersatz 50ml,50ml,"1,99",0,https://www.goflink.com//de-DE/shop/product/rewe-bio-veganer-eiersatz-50ml-11016805/
Rügenwalder Vegane Pommersche Schnittlauch 125g,125g,"1,99",0,https://www.goflink.com//de-DE/shop/product/rugenwalder-vegane-pommersche-schnittlauch-125g-11013602/
Simply V Streichgenuss Classic 150g,150g,"3,39",0,https://www.goflink.com//de-DE/shop/product/simply-v-streichgenuss-classic-150g-11015112/
Simply V Streichgenuss Kräuter 150g,150g,"3,39",0,https://www.goflink.com//de-DE/shop/product/simply-v-streichgenss-krauter-150g-11013497/
Veganz Bio Schoko-Creme vegan 400g,400g,"3,99",0,https://www.goflink.com//de-DE/shop/product/veganz-bio-schoko-creme-vegan-400g-11017515/
Veganz Ohnig 250g,250g,"4,99",0,https://www.goflink.com//de-DE/shop/product/veganz-ohnig-250g-11017585/
Violife Vioblock Vegan 250g,250g,"2,29",0,https://www.goflink.com//de-DE/shop/product/violife-vioblock-vegan-250g-11015113/
Cookie Business Cookiedough Double Choc Vegan 92g,92g,"2,59",0,https://www.goflink.com//de-DE/shop/product/cookie-business-cookiedough-classic-vegan-92g-11016171/
Fisherman's Friend Eukalyptus ohne Zuckerzusatz 50g (2x25g),2x25g,"1,99",0,https://www.goflink.com//de-DE/shop/product/fishermans-friend-eukalyptus-ohne-zucker-2x25g-11015455/
Fisherman's Friend Mint ohne Zucker 50g (2x25g),2x25g,"1,99",0,https://www.goflink.com//de-DE/shop/product/fishermans-friend-mindt-ohne-zucker-2x25g-11015456/
